"","song_id","title","release","artist_name","year"
"166193","SOGWMGF12AB0188613","Hermosa","In The Mood","Roberto Perera",0
"111414","SOTCJIV12AB017CBE7","All Good Things","The Remains","The Remains",1966
"80166","SOCXCWC12A8AE468B4","Assfault (Album Version)","The Darker Side of Nonsense","Dry Kill Logic",2001
"177088","SOPOJZS12AB018B609","Planet Earth","Reality Volume 1","Fastlane",0
"187639","SOCJFCR12AB01877EF","Sunny","Timeless","Frankie Valli",1968
"83725","SOHXUDU12A8AE4687D","Horizon","Wonders & Sign","Yami Bolo",0
"126281","SOQIHCH12AB018390E","Composition No. 351 (Part 4)","9 Compositions (Iridium) 2006","Anthony Braxton",0
"186889","SOEFSBZ12A8C1359C4","The Big Payback","The Essential Bruce Springsteen","Bruce Springsteen",2003
"55224","SOLLBDR12A8C140AF9","P-Machinery","De-cyphered Music","MAS 2008",2000
"142470","SODPFRZ12A58A7D736","Life's Journey","The Soul Stirrers","The Soul Stirrers",0
"21409","SOEOEPD12A8C142C06","The luxe","Club Tunes Vol.02","Nikoo",0
"146118","SOJCYGA12A8C137B11","My Blue Heaven","Doris Day:The Complete Standard Transcriptions","Doris Day",1996
"72091","SOLPHBO12A6D4F9C1F","Takamba (2006 Remastered LP Version)","Nine Lives [Digital Version]","Robert Plant",0
"171011","SOXIDUS12A8C1445E9","Because He Lives","Because He Lives","Bill Gaither Trio",0
"93795","SOJMVVI12AB017FDA8","These Times We're Living In","Dave Alvin and The Guilty Women","Dave Alvin",0
"4587","SOSGGJR12AB0189B48","Dum Tek Tek","Dum Tek Tek","Hadise",0
"116813","SOQRLNE12AB0181856","Sun Spots","Lo and LOAF Presents: Sounds in Search of Ears","Milky Globe & Friends",0
"148022","SORJUTF12AB0183E0F","Visions","Friendly Friends","Datakult vs Neo Vox",0
"95033","SOOXMQI12AC468687B","La Jeunesse","Vintage French Song Nº 42 - EPs Collectors ""Je T'Aime Encore Plus","Jacqueline François",0
"193937","SOUBEJJ12A6D4FB26B","Can't Wait","All In A Day","The Stingers ATX",0
"177175","SODPAJY12A6D4FB695","Lunch Hour Pops","Haha Sound","Broadcast",2003
"13285","SOLDHYX12AB018B33E","Parrot Dance","No Hats","Caroline Dahl",0
"60452","SOXNDMS12A8C13E19E","MenschFeind","Nyctophobia","Painbastard",2007
"84020","SOUXLJD12A8AE472F9","Para volver a empezar","Punto y aparte","Fran Perea",2005
"74783","SOEEFDA12AC90757BC","Show Me the Merengue","Spotlite Series - Gotham Records Vol. 2","Lee Andrews_ The Hearts",1993
"114885","SOMURLG12AC468E5BA","30 Minutes (Make Half an Hour)","30 Minutes Make Half an Hour E.P.","Mirweis Sangin",0
"159574","SOHZYPB12AB01820A3","Carondelet","Salt peter","Ruby",0
"121626","SOODPYA12AB018965B","Y es Que No Hay Mas","Cero","Pablo Herrera",0
"57076","SOFARPD12A58A812DF","Border","One Man Against The World","Gregory Isaacs",1986
"182387","SOLTPYB12AB0183E26","Polka Dots And Moonbeams","The Chase!","Dexter Gordon",0
"72332","SOGUVZM12A8C13867A","Twenty-Three","It Goes Like This","Scott Krippayne",0
"27686","SOZBRNV12AB0181F31","Drumsymphony","Drumsymphony","Mario Aureo",0
"94686","SOHHBGU12AB018DC23","Are We? feat. Michelle Amador (Tony Nwachukwu Remix)","Freshly Composted 2 - Compost 250","Karma",0
"30944","SOYHBSS12A8C13A5BF","Kind Words From The Broken Hearted","Don't You Wanna Be Relevant?","The Cribs",2007
"94467","SOSNEDB12AB018B9F6","Mystery Train","The Greatest Hits from 40's and 50's_ Vol. 64","Little Junior's Blue Flames",1999
"115026","SONBHEI12AB0185428","1995 Instrumental","Bee 17","Golden Shoulders",0
"117258","SOWGQEJ12A8C13A38C","Una Storia Importante","Eros - Best Of","Eros Ramazzotti",1985
"65350","SOXDKVV12AB018C613","Lower Eastside Tourist (Album Version)","West","Mark Eitzel",1997
"112955","SOVATRA12AB017EDF9","Black Rose","Only Through The Pain","Trapt",2008
"18649","SODHUCA12A6D4F959C","Hello Alone","Blueprints For City Friendships: The Anberlin Anthology","Anberlin",2007
"116101","SOOKVLZ12AB01889A4","Education Circle","Peter Bjorn And John","Peter Bjorn And John",2002
"37977","SODVQNL12A8C139C42","Instant Coma","Bazaar Bazaar","Birds Of Avalon",0
"161952","SODPTWB12AB0180F71","Loosing Game","Keep Calm + Carry On","Supreme Court",2009
"131179","SOSCTDP12A8C140285","Traveler","Traveler (Mora Brothers Remixes)","Kevin Max",2008
"110787","SOVQSZS12A8C13E414","Groove Is In The Heart (Transplant Radio Mix)","Groove Is In The Heart","DSP Feat. Deej",0
"104787","SOSRHMF12A8C1363F1","Ma Consolation","Un Jour Comme Aujourd' Hui","Pascal Obispo",1994
"3270","SOWSZAM12A6D4FA6FB","1_2_3 Keep The Spirit Alive (Single Edit)","1_2_3 Keep The Spirit Alive","Jan Wayne",0
"147889","SODLBUW12A8C141F9A","Let Your Heart Be Pure","Super Star Collection","Leroy Smart",1994
"67712","SOBWPPF12A6701F130","T-Bone (Remastered Album Version)","Re-ac-tor","Neil Young",0
"31133","SONLRRB12A8C146EEC","Rock This Joint","Evil Times","The Unkool Hillbillies",0
"125481","SOWFHGA12A8C13D65E","Unfortunate Milley","Poor But Ambitious","Wilmoth Houdini",1993
"187468","SOUGKMI12AB0186019","Knight","Knight","Mariano Favre",0
"158999","SOHYPMB12A6D4FC679","Rough","Jamaica No Problem","Anthony Que",0
