"title","title_type","genre","runtime","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_win","best_actor_win","best_actress_win","best_dir_win"
"Filly Brown","Feature Film","Drama",80,5.5,899,"Rotten",45,"Upright",73,"no","no","no","no"
"The Dish","Feature Film","Drama",101,7.3,12285,"Certified Fresh",96,"Upright",81,"no","no","no","no"
"Waiting for Guffman","Feature Film","Comedy",84,7.6,22381,"Certified Fresh",91,"Upright",91,"no","no","no","no"
"The Age of Innocence","Feature Film","Drama",139,7.2,35096,"Certified Fresh",80,"Upright",76,"no","yes","no","yes"
"Malevolence","Feature Film","Horror",90,5.1,2386,"Rotten",33,"Spilled",27,"no","no","no","no"
"Old Partner","Documentary","Documentary",78,7.8,333,"Fresh",91,"Upright",86,"no","no","no","no"
"Lady Jane","Feature Film","Drama",142,7.2,5016,"Rotten",57,"Upright",76,"no","no","no","no"
"Mad Dog Time","Feature Film","Drama",93,5.5,2272,"Rotten",17,"Spilled",47,"no","yes","no","no"
"Beauty Is Embarrassing","Documentary","Documentary",88,7.5,880,"Fresh",90,"Upright",89,"no","no","no","no"
"The Snowtown Murders","Feature Film","Drama",119,6.6,12496,"Certified Fresh",83,"Upright",66,"no","no","no","no"
"Superman II","Feature Film","Action & Adventure",127,6.8,71979,"Certified Fresh",89,"Upright",75,"no","yes","no","no"
"Leap of Faith","Feature Film","Drama",108,6,9669,"Fresh",67,"Spilled",46,"no","no","no","no"
"The Royal Tenenbaums","Feature Film","Comedy",110,7.6,201779,"Certified Fresh",80,"Upright",89,"no","yes","yes","no"
"School for Scoundrels","Feature Film","Comedy",100,5.9,25808,"Rotten",25,"Spilled",53,"no","no","no","no"
"Rhinestone","Feature Film","Comedy",111,3.6,5544,"Rotten",15,"Spilled",36,"no","no","no","no"
"Burn After Reading","Feature Film","Drama",96,7,240033,"Certified Fresh",78,"Upright",64,"no","no","yes","yes"
"The Doors","Feature Film","Drama",140,7.2,66489,"Rotten",54,"Upright",80,"no","no","no","yes"
"The Wood","Feature Film","Drama",106,6.9,6336,"Fresh",61,"Upright",92,"no","no","no","no"
"Jason X","Feature Film","Horror",91,4.4,37769,"Rotten",19,"Spilled",24,"no","no","no","no"
"Dragon Wars","Feature Film","Drama",90,3.6,21268,"Rotten",29,"Spilled",19,"no","no","no","no"
"Fallen","Feature Film","Drama",124,7,56201,"Rotten",40,"Upright",73,"no","yes","no","no"
"The Gleaners and I","Documentary","Documentary",82,7.6,3459,"Fresh",92,"Upright",86,"no","no","no","no"
"Tamara Drewe","Feature Film","Drama",107,6.2,16717,"Fresh",66,"Spilled",42,"no","no","no","no"
"Not Without My Daughter","Feature Film","Drama",116,6.2,9357,"Rotten",47,"Upright",71,"no","no","yes","no"
"The Yes Men Fix the World","Documentary","Documentary",87,7.6,4541,"Certified Fresh",79,"Upright",77,"no","no","no","no"
"Oh, God! You Devil","Feature Film","Comedy",97,5.3,1816,"Rotten",40,"Spilled",41,"no","no","no","no"
"Meet Joe Black","Feature Film","Drama",178,7.1,163490,"Rotten",51,"Upright",81,"no","yes","no","no"
"The Bay","Feature Film","Horror",84,5.6,19285,"Certified Fresh",77,"Spilled",43,"no","no","no","yes"
"Scandal","Feature Film","Art House & International",115,6.4,3688,"Fresh",91,"Upright",61,"no","no","no","no"
"Imagine: John Lennon","Documentary","Musical & Performing Arts",100,7.9,3488,"Fresh",92,"Upright",91,"no","no","no","no"
"Locke","Feature Film","Mystery & Suspense",85,7.1,82851,"Certified Fresh",91,"Upright",71,"no","no","no","no"
"The Spongebob Squarepants Movie","Feature Film","Animation",87,7,56128,"Fresh",68,"Upright",77,"no","no","no","no"
"The Muppet Christmas Carol","Feature Film","Science Fiction & Fantasy",85,7.7,33101,"Fresh",69,"Upright",85,"no","no","no","no"
"Die Hard 2","Feature Film","Mystery & Suspense",124,7.1,259822,"Fresh",69,"Upright",70,"no","no","no","no"
"The Reckoning","Feature Film","Documentary",112,6.6,4908,"Rotten",40,"Spilled",57,"no","no","no","no"
"Alice in Wonderland","Feature Film","Action & Adventure",108,6.5,290356,"Rotten",52,"Spilled",55,"no","no","no","no"
